"weight";"word";"color";"url"
"10000";"Frustração";"";""
"1340";"Entretenimento";"";""
"844";"Política";"";""
"766";"Decepção";"";""
"668";"Desdém";"";""
"529";"Infelicidade";"";""
"508";"Desdém e ironia";"";""
"499";"Raiva";"";""
"476";"Descontentamento";"";""
"378";"Planos interrompidos";"";""
"373";"Mortes devido à irresponsabilidade";"";""
"359";"Entretenimento";"";""
"354";"Ironia";"";""
"353";"Política";"";""
"351";"Crimes e acusados";"";""
"349";"Revolta";"";""
"341";"Política";"";""
